# NAME: LAKE ST CLAIR BEGINNING OF MONTH LEVELS 
# UNITS: metres (m) (DATUM: International Great Lakes Datum of 1985) 
# PERIOD OF RECORD: 1900 TO 2026
# DESCRIPTION: Water levels are measured by the National Oceanic and Atmospheric Administration and the  
# Canadian Department of Fisheries and Oceans.  Beginning-of-month levels are computed as an average
# of a network of gauges and coordinated under the auspices of the Coordinating Committee on 
# Great Lakes Basic Hydraulic and Hydrologic Data      www.greatlakescc.org 
# # All data for the previous 12 months should be considered provisional. 
# note: -9999 means that no data is available for that date 
Year, Jan, Feb, Mar, Apr, May, Jun, Jul, Aug, Sep, Oct, Nov, Dec 
1900,174.74,174.69,174.73,174.85,174.9,174.94,174.95,175.01,174.99,174.93,174.85,174.84 
1901,174.84,174.41,174.39,174.69,174.21,174.91,174.94,174.98,174.99,174.87,174.81,174.73 
1902,174.84,174.23,174.41,174.64,174.76,174.91,175.04,175.16,175.02,174.93,174.86,174.7 
1903,174.87,174.91,174.65,174.91,175.03,175.14,175.08,175.1,175.08,175.01,174.91,174.81 
1904,174.89,174.6,174.84,175.16,175.15,175.26,175.21,175.24,175.21,175.09,175.02,174.87 
1905,174.83,174.5,174.52,174.97,174.91,175.07,175.19,175.21,175.17,175.1,174.97,174.94 
1906,174.84,174.87,174.56,174.82,174.9,174.96,175.04,175.1,175.02,175.01,174.94,174.82 
1907,174.58,174.96,174.79,174.98,175.02,175.16,175.17,175.16,175.11,175.11,175.01,174.85 
1908,174.98,174.55,174.75,175.08,175.08,175.25,175.28,175.28,175.16,175.01,174.91,174.69 
1909,174.66,174.66,174.52,174.78,175.01,175.16,175.19,175.2,175.08,174.91,174.79,174.84 
1910,175.3,174.55,174.69,174.79,174.98,174.93,175.02,174.99,174.94,174.84,174.73,174.62 
1911,174.5,174.24,174.26,174.62,174.73,174.81,174.85,174.81,174.78,174.75,174.64,174.56 
1912,174.59,174.61,174.76,174.8,174.88,174.96,174.97,174.91,174.92,174.87,174.8,174.68 
1913,174.71,174.76,174.52,175.16,175.18,175.21,175.19,175.14,175.04,174.91,174.82,174.86 
1914,174.76,174.45,174.65,174.79,174.83,174.97,174.96,174.96,174.9,174.82,174.69,174.62 
1915,174.8,174.4,174.44,174.51,174.58,174.69,174.72,174.78,174.79,174.81,174.62,174.5 
1916,174.6,174.76,174.51,174.76,174.87,175.09,175.11,175.09,174.96,174.88,174.77,174.7 
1917,175.19,174.74,174.73,174.85,174.89,175.15,175.27,175.29,175.23,175.05,174.98,174.98 
1918,174.78,174.53,174.76,174.67,174.62,175.03,175.03,175.1,175.03,175.0,174.9,174.79 
1919,174.89,174.87,174.69,174.99,175.07,175.23,175.23,175.14,175.03,174.93,174.88,174.63 
