# NAME: LAKE ERIE BEGINNING OF MONTH LEVELS 
# UNITS: metres (m) (DATUM: International Great Lakes Datum of 1985) 
# PERIOD OF RECORD: 1900 TO 2026
# DESCRIPTION: Water levels are measured by the National Oceanic and Atmospheric Administration and the  
# Canadian Department of Fisheries and Oceans.  Beginning of month levels are computed as an average 
# of a network of gauges and coordinated under the auspices of the Coordinating Committee on 
# Great Lakes Basic Hydraulic and Hydrologic Data      www.greatlakescc.org 
# # All data for the previous 12 months should be considered provisional. 
# note: -9999 means that no data is available for that date 
Year, Jan, Feb, Mar, Apr, May, Jun, Jul, Aug, Sep, Oct, Nov, Dec 
1900,173.9,173.77,173.83,173.95,174.06,174.07,174.06,174.04,174.01,173.89,173.81,173.8 
1901,173.74,173.72,173.55,173.69,173.71,173.8,173.89,173.9,173.89,173.8,173.71,173.68 
1902,173.69,173.58,173.49,173.71,173.81,173.92,174.04,174.22,174.09,174.09,173.98,173.89 
1903,173.87,173.78,173.83,174.09,174.28,174.24,174.24,174.22,174.16,174.04,173.92,173.84 
1904,173.72,173.77,173.78,174.13,174.33,174.39,174.36,174.33,174.24,174.15,174.03,173.92 
1905,173.83,173.75,173.66,173.8,173.98,174.15,174.27,174.24,174.16,174.09,173.93,173.92 
1906,173.89,173.96,173.86,173.89,174.03,174.07,174.13,174.13,174.12,174.04,174.01,173.98 
1907,174.06,174.18,174.03,174.15,174.18,174.27,174.35,174.32,174.19,174.18,174.13,174.04 
1908,174.09,174.03,174.04,174.25,174.35,174.44,174.38,174.33,174.24,174.1,174.0,173.78 
1909,173.74,173.75,173.86,173.89,174.06,174.27,174.32,174.22,174.13,173.98,173.83,173.84 
1910,173.75,173.71,173.71,173.9,174.07,174.13,174.09,174.06,173.98,173.9,173.84,173.78 
1911,173.69,173.66,173.64,173.71,173.89,173.9,173.9,173.81,173.8,173.8,173.75,173.66 
1912,173.77,173.71,173.64,173.84,174.09,174.13,174.13,174.1,174.09,174.04,173.98,173.84 
1913,173.8,174.1,174.03,174.42,174.57,174.53,174.45,174.38,174.24,174.1,174.0,174.06 
1914,173.98,173.9,173.8,173.9,174.07,174.27,174.21,174.15,174.09,173.98,173.86,173.77 
1915,173.69,173.64,173.78,173.74,173.78,173.87,173.9,173.98,174.01,174.0,173.86,173.74 
1916,173.77,173.95,173.89,174.0,174.15,174.28,174.35,174.27,174.12,173.98,173.86,173.8 
1917,173.8,173.8,173.74,173.93,174.16,174.32,174.45,174.48,174.36,174.25,174.22,174.19 
