# NAME: LAKE MICHIGAN-HURON BEGINNING OF MONTH LEVELS 
# UNITS: metres (m) (DATUM: International Great Lakes Datum of 1985) 
# PERIOD OF RECORD: 1900 TO 2026
# DESCRIPTION: Water levels are measured by the National Oceanic and Atmospheric Administration and the  
# Canadian Department of Fisheries and Oceans.  Beginning-of-month levels are computed as an average
# of a network of gauges and coordinated under the auspices of the Coordinating Committee on 
# Great Lakes Basic Hydraulic and Hydrologic Data      www.greatlakescc.org 
# # All data for the previous 12 months should be considered provisional. 
# note: -9999 means that no data is available for that date 
Year, Jan, Feb, Mar, Apr, May, Jun, Jul, Aug, Sep, Oct, Nov, Dec 
1900,176.41,176.36,176.42,176.42,176.5,176.54,176.57,176.66,176.69,176.67,176.65,176.61 
1901,176.5,176.45,176.43,176.56,176.66,176.73,176.76,176.81,176.78,176.66,176.61,176.49 
1902,176.44,176.38,176.35,176.4,176.45,176.53,176.63,176.72,176.65,176.6,176.5,176.47 
1903,176.37,176.35,176.39,176.49,176.55,176.63,176.65,176.67,176.66,176.68,176.61,176.5 
1904,176.43,176.41,176.42,176.56,176.69,176.85,176.9,176.91,176.88,176.84,176.78,176.66 
1905,176.56,176.53,176.53,176.63,176.67,176.8,176.9,176.94,176.91,176.85,176.74,176.69 
1906,176.62,176.65,176.68,176.71,176.79,176.84,176.9,176.89,176.82,176.76,176.69,176.66 
1907,176.62,176.66,176.65,176.7,176.75,176.84,176.9,176.91,176.87,176.84,176.74,176.66 
1908,176.61,176.56,176.6,176.66,176.76,176.92,176.95,176.99,176.88,176.78,176.66,176.52 
1909,176.44,176.41,176.44,176.45,176.6,176.73,176.77,176.77,176.71,176.64,176.5,176.46 
1910,176.45,176.45,176.43,176.45,176.55,176.59,176.59,176.56,176.53,176.49,176.42,176.35 
1911,176.24,176.24,176.24,176.23,176.31,176.42,176.45,176.4,176.35,176.32,176.29,176.27 
1912,176.25,176.23,176.23,176.22,176.33,176.56,176.58,176.61,176.63,176.63,176.57,176.55 
1913,176.49,176.45,176.43,176.53,176.7,176.81,176.83,176.83,176.77,176.68,176.61,176.59 
1914,176.48,176.45,176.44,176.46,176.51,176.58,176.66,176.66,176.63,176.56,176.48,176.38 
1915,176.27,176.28,176.31,176.28,176.29,176.34,176.4,176.42,176.42,176.43,176.31,176.29 
1916,176.22,176.24,176.25,176.32,176.51,176.66,176.79,176.8,176.71,176.66,176.63,176.59 
1917,176.6,176.58,176.56,176.61,176.73,176.81,176.98,177.05,176.99,176.9,176.8,176.74 
1918,176.66,176.67,176.72,176.81,176.89,177.03,177.02,177.0,176.94,176.83,176.78,176.74 
1919,176.73,176.66,176.6,176.68,176.78,176.88,176.85,176.82,176.72,176.65,176.61,176.54 
1920,176.48,176.43,176.42,176.54,176.64,176.66,176.73,176.74,176.72,176.68,176.59,176.49 
1921,176.44,176.4,176.37,176.45,176.61,176.61,176.6,176.54,176.5,176.45,176.36,176.28 
1922,176.27,176.2,176.24,176.3,176.5,176.58,176.61,176.65,176.56,176.49,176.34,176.26 
1923,176.16,176.1,176.07,176.12,176.24,176.35,176.4,176.38,176.33,176.3,176.22,176.11 
1924,176.06,175.99,176.0,176.06,176.14,176.25,176.29,176.31,176.34,176.27,176.14,176.05 
1925,175.94,175.88,175.89,175.94,175.96,175.94,175.99,175.99,175.9,175.84,175.76,175.71 
1926,175.66,175.65,175.66,175.7,175.81,175.9,176.0,176.01,175.99,175.96,175.92,175.95 
1927,175.92,175.92,175.95,176.04,176.12,176.26,176.31,176.33,176.24,176.2,176.14,176.13 
1928,176.1,176.08,176.11,176.18,176.37,176.46,176.56,176.59,176.6,176.56,176.63,176.65 
1929,176.64,176.65,176.6,176.71,176.95,177.12,177.17,177.16,177.08,176.96,176.86,176.75 
1930,176.65,176.62,176.66,176.66,176.7,176.76,176.82,176.83,176.74,176.62,176.48,176.36 
1931,176.26,176.18,176.13,176.15,176.15,176.19,176.2,176.15,176.03,176.06,175.97,175.99 
1932,175.88,175.94,175.92,175.91,175.95,176.03,176.03,176.02,175.98,175.89,175.84,175.77 
1933,175.77,175.74,175.73,175.72,175.88,176.03,176.06,176.05,175.94,175.86,175.79,175.72 
1934,175.68,175.7,175.63,175.67,175.77,175.8,175.85,175.83,175.77,175.81,175.72,175.75 
1935,175.74,175.72,175.73,175.8,175.87,175.91,176.01,176.03,175.98,175.94,175.87,175.88 
1936,175.8,175.81,175.82,175.88,175.93,176.03,176.05,176.01,176.0,175.99,175.94,175.83 
1937,175.81,175.8,175.83,175.79,175.93,176.0,176.05,176.04,176.01,175.94,175.88,175.83 
1938,175.75,175.78,175.87,176.02,176.11,176.2,176.29,176.32,176.33,176.31,176.22,176.15 
1939,176.09,176.05,176.07,176.1,176.22,176.32,176.43,176.43,176.45,176.38,176.3,176.21 
1940,176.12,176.06,176.03,175.99,176.04,176.15,176.24,176.25,176.25,176.21,176.11,176.09 
1941,176.07,176.06,176.05,176.02,176.13,176.16,176.16,176.14,176.06,176.06,176.11,176.15 
1942,176.12,176.11,176.11,176.22,176.3,176.43,176.51,176.51,176.43,176.39,176.34,176.29 
1943,176.24,176.24,176.27,176.37,176.48,176.64,176.84,176.89,176.89,176.82,176.74,176.7 
1944,176.58,176.56,176.53,176.55,176.59,176.64,176.71,176.7,176.63,176.62,176.52,176.47 
1945,176.38,176.34,176.32,176.39,176.47,176.61,176.74,176.75,176.7,176.67,176.61,176.59 
1946,176.53,176.55,176.56,176.66,176.66,176.71,176.76,176.72,176.63,176.55,176.46,176.36 
1947,176.3,176.27,176.26,176.26,176.47,176.65,176.76,176.8,176.78,176.74,176.69,176.61 
1948,176.48,176.42,176.41,176.53,176.64,176.71,176.73,176.7,176.61,176.47,176.31,176.31 
1949,176.22,176.21,176.2,176.2,176.27,176.3,176.37,176.37,176.26,176.16,176.06,175.97 
1950,175.92,175.96,175.98,176.06,176.21,176.28,176.38,176.45,176.44,176.42,176.37,176.33 
1951,176.31,176.33,176.37,176.45,176.7,176.78,176.84,176.93,176.94,176.89,176.93,176.94 
1952,176.92,176.96,176.94,176.98,177.14,177.2,177.23,177.27,177.26,177.15,176.96,176.93 
1953,176.88,176.83,176.81,176.87,176.95,177.02,177.1,177.09,177.07,176.96,176.87,176.76 
1954,176.67,176.6,176.63,176.65,176.78,176.84,176.96,176.96,176.92,176.9,176.99,176.93 
1955,176.85,176.8,176.76,176.76,176.87,176.89,176.89,176.83,176.73,176.55,176.49,176.42 
1956,176.33,176.3,176.29,176.32,176.42,176.55,176.58,176.6,176.61,176.49,176.4,176.32 
1957,176.26,176.19,176.17,176.17,176.24,176.32,176.39,176.42,176.34,176.27,176.2,176.18 
1958,176.17,176.15,176.12,176.11,176.14,176.11,176.13,176.14,176.08,176.03,175.94,175.85 
1959,175.76,175.74,175.76,175.81,176.0,176.11,176.11,176.1,176.14,176.09,176.1,176.12 
1960,176.14,176.14,176.16,176.15,176.34,176.58,176.69,176.76,176.75,176.69,176.58,176.54 
1961,176.42,176.33,176.31,176.34,176.4,176.42,176.47,176.47,176.42,176.42,176.35,176.28 
1962,176.2,176.18,176.19,176.23,176.3,176.36,176.37,176.34,176.29,176.2,176.11,176.0 
1963,175.91,175.85,175.83,175.91,175.97,176.04,176.04,176.04,176.01,175.94,175.85,175.76 
