# ERI Forecast Net Basin Supply (NBS)
# 50% forecast from Picked model for Bulletin forecasts
# Year and month columns specify the month the forecast was conducted.
# For example, for the "2002 Nov" row, the forecast
# was conducted at the beginning of November, 2002. For this row:
# Column "one" represents the forecast for November produced in November 2002,
# Column "two" represents the forecast for December produced in November 2002
# Column "three" represents the forecast for January 2003 produced in November 2002
# etc.
# Last modified 2016-12-08 06:33:49 by LMF
#
"year","month","one","two","three","four","five","six"
"2002","Nov",150,1140,710,1480,2400,2020
"2002","Dec",770,630,1380,2240,1870,1300
"2003","Jan",540,1330,2190,1830,1280,1040
"2003","Feb",730,1680,1420,970,800,90
"2003","Mar",1740,1670,1090,640,30,-430
"2003","Apr",1710,1150,900,110,-380,-570
"2003","May",1220,790,140,-380,-570,-640
"2003","Jun",820,110,-360,-540,-670,-160
"2003","Jul",290,-280,-500,-630,-110,560
"2003","Aug",-250,-410,-610,-150,430,630
"2003","Sep",-510,-520,-160,560,730,1060
"2003","Oct",-530,-50,650,730,1130,2070
"2003","Nov",20,540,670,940,1990,1830
"2003","Dec",560,760,1060,2070,2000,1380
"2004","Jan",800,1170,2170,2060,1470,990
"2004","Feb",1020,2070,1960,1330,860,140
"2004","Mar",1340,1210,720,320,-260,-710
"2004","Apr",1980,1330,850,120,-360,-550
"2004","May",1430,1030,450,20,-380,-620
"2004","Jun",1180,190,-320,-490,-670,-160
"2004","Jul",250,-220,-360,-530,-110,450
"2004","Aug",-230,-450,-570,70,790,730
"2004","Sep",-460,-620,-80,700,850,1130
"2004","Oct",-880,-130,680,560,1110,2170
"2004","Nov",-130,540,710,1000,2010,1870
"2004","Dec",450,480,750,1780,1590,1250
"2005","Jan",780,860,1840,2060,1330,790
"2005","Feb",1170,2190,2060,1420,860,140
"2005","Mar",2650,2060,1420,960,140,-330
"2005","Apr",2170,1470,940,160,320,480
"2005","May",1580,940,140,-380,-570,-690
"2005","Jun",980,190,-280,-420,-630,-130
"2005","Jul",190,-320,-500,-710,-190,450
"2005","Aug",-460,-630,-880,-270,340,590
"2005","Sep",-300,-560,-70,560,650,960
"2005","Oct",-520,-20,650,780,1060,2030
"2005","Nov",-180,470,670,980,1990,1890
"2005","Dec",540,710,1090,2070,1920,1350
"2006","Jan",690,1020,2030,1920,1350,850
"2006","Feb",1060,1990,1870,1200,940,190
"2006","Mar",2220,2020,1300,820,100,-380
"2006","Apr",1920,1350,740,0,-400,-500
"2006","May",1300,820,120,-350,-500,-690
"2006","Jun",1100,140,-340,-610,-690,-130
"2006","Jul",120,-310,-500,-650,-180,430
"2006","Aug",-350,-410,-510,-50,770,730
"2006","Sep",-540,-610,-80,490,710,960
"2006","Oct",-650,-30,560,630,960,1970
"2006","Nov",20,750,910,1060,2070,1960
"2006","Dec",650,940,1170,1920,1770,1420
"2007","Jan",1040,1170,1920,1770,1420,860
"2007","Feb",1540,2070,1870,1220,910,140
"2007","Mar",2220,1960,1280,900,90,-380
"2007","Apr",2080,1430,1080,260,-270,-420
"2007","May",1490,910,290,-120,-470,-630
"2007","Jun",930,230,-310,-380,-670,-50
"2007","Jul",130,-420,-620,-670,-50,650
"2007","Aug",-330,-570,-620,-30,450,710
"2007","Sep",-380,-630,0,770,800,1130
"2007","Oct",-650,-80,750,800,1130,2070
"2007","Nov",-180,680,760,1130,2090,1960
"2007","Dec",580,760,1150,2010,1850,1300
"2008","Jan",760,1150,2070,2020,1270,900
"2008","Feb",1240,1970,2060,1300,880,90
"2008","Mar",2220,2020,1320,850,110,-380
"2008","Apr",2080,1350,910,140,-350,-550
"2008","May",1250,880,160,-300,-460,-680
"2008","Jun",790,40,-400,-570,-680,-160
"2008","Jul",170,-280,-390,-560,-30,700
"2008","Aug",-430,-580,-770,-270,410,630
"2008","Sep",-530,-690,-30,650,850,1110
"2008","Oct",-680,-70,630,670,1110,1990
"2008","Nov",-160,520,710,980,1940,1770
"2008","Dec",700,940,1110,1940,1950,1300
"2009","Jan",870,1190,2190,2170,1350,880
"2009","Feb",1170,2070,1960,1270,790,90
"2009","Mar",2300,1790,1250,1040,110,-370
"2009","Apr",1960,1370,940,170,-330,-570
"2009","May",1300,880,130,-350,-540,-680
"2009","Jun",820,120,-340,-530,-680,-150
"2009","Jul",90,-330,-550,-680,-130,430
"2009","Aug",-270,-280,-640,-110,430,610
"2009","Sep",-330,-530,-100,450,760,1060
"2009","Oct",-600,-240,870,520,1380,2370
"2009","Nov",-30,700,780,1060,1760,1850
"2009","Dec",410,690,1060,1940,1830,1300
"2010","Jan",800,1060,2030,1870,1300,860
"2010","Feb",1060,1390,1770,1330,880,280
"2010","Mar",1840,1770,1270,880,110,-380
"2010","Apr",1830,1280,1010,200,-380,-570
"2010","May",1100,680,-60,-480,-630,-670
"2010","Jun",860,150,-360,-510,-600,-160
"2010","Jul",200,-330,-510,-650,-150,430
"2010","Aug",-330,-420,-550,-70,520,760
"2010","Sep",-430,-620,-70,520,670,960
"2010","Oct",-670,-100,580,730,1090,1990
"2010","Nov",-150,610,610,980,2030,1850
"2010","Dec",540,590,1330,2170,1810,1100
"2011","Jan",590,1040,2010,1870,1270,880
"2011","Feb",1130,1970,1830,1220,910,90
"2011","Mar",2110,1790,1280,930,280,-160
"2011","Apr",2020,1370,1010,310,-80,-350
"2011","May",1580,1140,360,-100,-300,-600
"2011","Jun",1060,220,-300,-500,-650,-110
"2011","Jul",170,-100,-280,-580,-100,470
"2011","Aug",-100,-200,-530,-100,610,780
"2011","Sep",-250,-530,-50,630,730,980
"2011","Oct",-500,150,750,1110,1130,1970
"2011","Nov",250,650,910,1190,2150,1850
"2011","Dec",950,910,1190,2170,1850,1320
"2012","Jan",960,1150,2130,1980,1320,980
"2012","Feb",1290,2110,2060,1420,940,190
"2012","Mar",2070,2000,1420,860,140,-330
"2012","Apr",1910,1170,740,90,-380,-570
"2012","May",1280,800,190,-280,-470,-680
"2012","Jun",820,140,-280,-430,-690,-190
"2012","Jul",190,-280,-500,-690,-190,450
"2012","Aug",-410,-510,-740,-190,450,630
"2012","Sep",-500,-720,-110,580,650,1170
"2012","Oct",-780,-30,680,710,1220,1940
"2012","Nov",150,790,650,960,1880,1770
"2012","Dec",560,780,1090,1780,1920,1350
"2013","Jan",590,1130,1760,1790,1190,860
"2013","Feb",960,1760,1810,1190,860,90
"2013","Mar",2280,1940,1170,830,150,-280
"2013","Apr",1870,1220,860,130,-380,-570
"2013","May",1400,940,170,-380,-570,-690
"2013","Jun",930,200,-310,-470,-650,-190
"2013","Jul",190,-160,-360,-750,-190,450
"2013","Aug",-280,-500,-690,-30,450,630
"2013","Sep",-410,-690,-80,450,630,960
"2013","Oct",-770,-110,680,630,1060,1880
"2013","Nov",-210,580,710,1000,2010,1920
"2013","Dec",470,710,1000,1860,1910,1320
"2014","Jan",710,1020,1990,1910,1330,820
"2014","Feb",1190,2010,2000,1200,820,90
"2014","Mar",2110,2020,1200,820,90,-380
"2014","Apr",2020,1350,850,190,-280,-430
"2014","May",1350,860,130,-360,-550,-690
"2014","Jun",930,220,-320,-500,-710,-190
"2014","Jul",200,-250,-390,-560,-70,410
"2014","Aug",-200,-410,-580,-190,410,650
"2014","Sep",-460,-720,-190,430,670,1020
"2014","Oct",-450,-110,410,520,750,1720
"2014","Nov",-80,380,590,860,2070,1890
"2014","Dec",490,520,920,1920,1810,1300
"2015","Jan",730,880,1970,1770,1280,860
"2015","Feb",860,2070,1870,1330,790,110
"2015","Mar",1940,1910,1330,820,120,-410
"2015","Apr",1830,1190,740,110,-430,-620
"2015","May",1190,760,90,-360,-510,-710
"2015","Jun",640,110,-300,-590,-650,-190
"2015","Jul",310,-140,-610,-520,-270,770
"2015","Aug",-270,-450,-630,-30,680,730
"2015","Sep",-486,-574,-190,840,690,860
"2015","Oct",-710,-110,560,590,860,1880
"2015","Nov",-70,610,630,790,1760,1711
"2015","Dec",650,560,1060,1550,1630,1096
"2016","Jan",780,1130,1880,1747,1174,710
"2016","Feb",960,1640,1460,1089,710,60
"2016","Mar",2073,1675,1177,748,70,-380
"2016","Apr",1800,1140,640,30,-410,-610
"2016","May",1152,850,20,-329,-728,-720
"2016","Jun",920,119,-380,-570,-770,-190
"2016","Jul",20,-460,-620,-698,-320,410
"2016","Aug",-380,-477,-638,-76,769,730
"2016","Sep",-580,-720,-66,520,610,1020
"2016","Oct",-721,-270,450,650,1110,1940
"2016","Nov",-293,340,670,1135,1936,1870
"2016","Dec",369,717,1135,2070,1758,1200
