# ERI Forecast NBS (cms) 
# Forecast from Picked model for Bulletin forecast runs
# For example, for the "2017 Jan" row, the forecast
# was conducted at the beginning of Jan, 2017. For this row:
# Column "one" represents the forecast for January produced in January 2017
# Column "two" represents the forecast for February produced in January 2017
# Column "three" represents the forecast for March produced in January 2017
# etc.
# Last modified 2023-09-05 13:40:41 by JKP
#
"year","month","one","two","three","four","five","six","forecaster"
"2017","01"," 719","1145","2092","2010","1136"," 720","JKP"
"2017","02","1240","2092","1948","1202"," 715"," 108","DA9"
"2017","03","1612","1620","1136"," 850"," 143","-282","LMF"
"2017","04","1960","1124"," 850"," 170","-190","-530","DA9"
"2017","05","1328"," 760"," 108","-365","-550","-779","LMF"
"2017","06","1082"," 220","-282","-530","-548"," -10","DA9"
"2017","07"," 250","-248","-518","-610"," -90"," 711","DA9"
"2017","08","-340","-518","-574"," -90"," 711"," 818","DA9"
"2017","09","-518","-480"," -73","1006"," 798","1104","hml"
"2017","10","-791","-165"," 642"," 752","1438","2362","LMF"
"2017","11","-130"," 862"," 760","1186","2130","1890","hml"
"2017","12"," 728"," 688","1240","2042","1890","1328","hml"
"2018","01"," 560","1240","2042","1960","1290"," 900","zam"
"2018","02","1104","2030","1991","1311"," 886"," 130","zam"
"2018","03","2092","2002","1410"," 886"," 110","-365","hml"
"2018","04","2240","1150"," 928"," 220","-410","-550","jkp"
"2018","05","1494","1010"," 202","-340","-632","-610","hml"
"2018","06"," 609"," 250","-390","-490","-620"," -62","DA9"
"2018","07"," 263","-365","-550","-504"," -73"," 750","jkp"
"2018","08","-282","-459","-548"," -62"," 955"," 798","LMF"
"2018","09","-530","-570","-165"," 955"," 940","1145","zam"
"2018","10","-459"," -90"," 662"," 760","1090","1904","DA9"
"2018","11"," 126"," 750"," 519","1005","1712","1842","DA9"
"2018","12","1085"," 650","1005","1661","1790","1148","CJW"
"2019","01"," 482","1005","1808","1812","1232"," 850","zam"
"2019","02"," 900","1996","1812","1148"," 680"," 111","EAB"
"2019","03","2453","2100","1328"," 900"," 170","-340","zam"
"2019","04","2010","1311"," 900"," 166","-386","-658","EAB"
"2019","05","1494"," 850"," 130","-282","-550","-610","jkp"
"2019","06","1010"," 374","-219","-490","-548"," -90","DA9"
"2019","07"," 423","-340","-563","-570","-248"," 550","jkp"
"2019","08","-440","-500","-574","-248"," 894"," 820","zam"
"2019","09","-470","-500"," -86"," 586"," 688","1055","EAB"
"2019","10","-500","-130"," 862"," 798","1240","1950","jkp"
"2019","11","-318"," 550"," 820","1270","2175","2100","DA9"
"2019","12"," 686"," 752","1104","1996","1930","1260","EAB"
"2020","01"," 752","1005","2130","1763","1311"," 870","ZAM"
"2020","02","1289","2150","2016","1354"," 870"," 170","JKP"
"2020","03","1808","2100","1520","1082"," 260","-210","DA9"
"2020","04","1948","1418","1003"," 237","-402","-617","DA9"
"2020","05","1148"," 990"," 250","-210","-518","-647","DA9"
"2020","06"," 990"," 220","-282","-490","-647","-130","JKP"
"2020","07"," 202","-219","-550","-620"," -80"," 750","DA9"
"2020","08","-520","-766","-624","-165"," 662"," 798","DA9"
"2020","09","-718","-668","-274"," 728"," 766","1145","JKP"
"2020","10","-950","-320"," 728"," 798","1197","2042","DA9"
"2020","11","-248"," 711"," 732","1078","1996","1948","JMW"
"2020","12"," 728"," 798","1240","2042","2002","1290","DA9"
"2021","01","1085","1438","1950","1740","1000"," 715","ZAM"
"2021","02"," 966","2042","2064","1311"," 900"," 202","JKP"
"2021","03","1661","1842","1232"," 785"," 108","-365","DA9"
"2021","04","1545","1148"," 760"," 120","-340","-540","JLJ"
"2021","05","1232"," 785"," 110","-340","-550","-574","JLJ"
"2021","06"," 609"," 202","-122","-473","-440","  29","ZAM"
"2021","07"," 220","-282","-518","-624","-130"," 790","DA9"
"2021","08"," -50","-490","-548","-248"," 894"," 883","ZAM"
"2021","09","-470","-548","-178"," 790"," 688","1104","JLJ"
"2021","10","-814","  29"," 894"," 854","1270","2092","DA9"
"2021","11","  75"," 750"," 899","1225","2042","1890","ZAM"
"2021","12"," 686"," 883","1270","2042","1930","1388","DA9"
"2022","01"," 820","1308","2150","1960","1328"," 870","JLJ"
"2022","02","1392","2150","1812","1328"," 928"," 220","DA9"
"2022","03","2362","1960","1328"," 928"," 240","-282","JLJ"
"2022","04","2240","1290"," 900","  90","-370","-650","DA9"
"2022","05","1354"," 928"," 220","-190","-650","-610","DA9"
"2022","06"," 920"," 250","-282","-518","-574","-165","ZAM"
"2022","07"," 237","-190","-500","-510","-130"," 517","ZAM"
"2022","08","-282","-447","-594","-178"," 790"," 752","JLJ"
"2022","09","-670","-624","-199"," 790"," 766","1300","DA9"
"2022","10","-740","-199"," 790"," 766","1289","2042","JLJ"
"2022","11","-400"," 642"," 688","1240","2150","1842","JKP"
"2022","12"," 205"," 798","1240","2019","2027","1354","JKP"
"2023","01"," 688","1240","2150","2002","1388"," 870","JKP"
"2023","02","1225","1319","1960","1410"," 850"," 166","ZAM"
"2023","03","2160","2027","1270"," 850"," 130","-390","ZAM"
"2023","04","2100","1202"," 870"," 280","-181","-530","DA9"
"2023","05"," 973"," 750"," 270","-181","-518","-570","JKP"
"2023","06"," 609"," 170","-248","-459","-647","-165","JKP"
"2023","07","  18","-427","-470","-610"," -10"," 570","DA9"
"2023","08","-391","-436","-574"," -10"," 686"," 530","DA9"
"2023","09","-473","-569","-178","862","530","1055","JKP"
