# MIH Forecast Net Basin Supply (NBS)
# 50% forecast from Picked model for Bulletin forecasts
# Year and month columns specify the month the forecast was conducted.
# For example, for the "2002 Nov" row, the forecast
# was conducted at the beginning of November, 2002. For this row:
# Column "one" represents the forecast for November produced in November 2002,
# Column "two" represents the forecast for December produced in November 2002
# Column "three" represents the forecast for January 2003 produced in November 2002
# etc.
# Last modified 2016-12-08 06:33:49 by LMF
#
"year","month","one","two","three","four","five","six"
"2002","Nov",1175,1049,1250,1979,4745,7816
"2002","Dec",1029,921,1722,4294,7276,6077
"2003","Jan",844,1687,4125,7190,6039,4514
"2003","Feb",1403,4047,6829,6106,4906,3006
"2003","Mar",3976,6538,6106,4906,3006,1233
"2003","Apr",6538,5646,5040,3212,1336,356
"2003","May",6224,4774,3006,1133,-63,-307
"2003","Jun",5708,3089,1452,356,-273,454
"2003","Jul",3212,1393,515,-183,454,491
"2003","Aug",1654,460,150,717,500,1256
"2003","Sep",96,-355,391,294,1256,2060
"2003","Oct",-458,338,262,1256,2060,4378
"2003","Nov",338,500,1256,2136,4808,7850
"2003","Dec",528,1390,2325,4808,7328,6850
"2004","Jan",1421,2359,5020,7910,7047,5629
"2004","Feb",2122,4745,7910,7047,5629,3624
"2004","Mar",3224,6046,5161,4286,2310,15
"2004","Apr",8111,7154,5802,3678,1694,765
"2004","May",6477,4985,3212,1866,740,130
"2004","Jun",6630,3868,2094,934,215,1045
"2004","Jul",3868,2204,1023,462,1618,1064
"2004","Aug",2277,1023,680,1717,1464,1633
"2004","Sep",1133,680,1508,1353,1530,2570
"2004","Oct",-573,488,262,1564,2409,5110
"2004","Nov",717,528,1284,2257,5149,7910
"2004","Dec",794,1390,2060,4668,7672,6850
"2005","Jan",1674,1877,4745,7816,6337,5590
"2005","Feb",2898,5020,8019,6628,5316,3451
"2005","Mar",5110,8198,6741,5451,3600,1960
"2005","Apr",7850,6477,5136,3550,1743,670
"2005","May",6477,5136,3550,1743,670,215
"2005","Jun",5040,3212,1336,269,-183,661
"2005","Jul",2740,1233,156,-273,1045,680
"2005","Aug",524,96,-398,454,404,1256
"2005","Sep",96,-398,391,294,1390,2325
"2005","Oct",-990,488,404,1284,2098,4461
"2005","Nov",-239,92,1227,2098,4461,7276
"2005","Dec",-420,1176,2060,4736,7910,6850
"2006","Jan",1074,1811,3976,6829,6392,5040
"2006","Feb",2060,4125,6667,6224,5136,3526
"2006","Mar",5654,8518,7154,5590,3600,1600
"2006","Apr",8637,7154,5316,3451,1475,750
"2006","May",6477,5802,3778,1600,750,130
"2006","Jun",4933,3212,1517,515,40,846
"2006","Jul",2595,1517,456,-21,785,680
"2006","Aug",1475,404,-21,785,680,1500
"2006","Sep",96,-104,717,596,1390,2150
"2006","Oct",-990,661,528,1256,2060,4294
"2006","Nov",454,794,1421,1844,4668,7672
"2006","Dec",794,1350,2060,4668,7672,6224
"2007","Jan",1227,2150,4378,7254,6650,5316
"2007","Feb",2018,4916,7980,6850,5174,3451
"2007","Mar",3976,7672,6337,5006,3451,1600
"2007","Apr",7816,6392,5101,3451,1715,619
"2007","May",6587,5316,3526,1866,765,297
"2007","Jun",4718,3089,1393,312,-104,717
"2007","Jul",2569,1475,404,-21,785,680
"2007","Aug",1393,312,-104,717,596,1390
"2007","Sep",404,-21,785,680,1461,2150
"2007","Oct",-104,717,596,717,1648,4461
"2007","Nov",936,1113,1421,2359,4870,7816
"2007","Dec",528,1250,2060,4082,7061,6650
"2008","Jan",1500,2570,5020,7672,6741,5552
"2008","Feb",2150,5194,8198,7154,5629,3600
"2008","Mar",5149,7527,6770,5585,3600,1517
"2008","Apr",7527,6850,6057,3600,1517,670
"2008","May",7139,5590,3600,1570,515,40
"2008","Jun",5629,3605,1654,619,150,1045
"2008","Jul",3678,1960,838,420,1268,1172
"2008","Aug",1654,838,297,1175,1083,1500
"2008","Sep",740,297,1045,1029,1500,2325
"2008","Oct",179,1268,680,1594,2186,5110
"2008","Nov",1045,794,1530,2325,4916,7980
"2008","Dec",937,1350,2018,4916,7980,6477
"2009","Jan",1350,2315,5194,8258,6850,5552
"2009","Feb",2186,5110,8198,6688,5451,3600
"2009","Mar",5302,8390,6919,5629,3238,1517
"2009","Apr",8390,6919,5629,3600,1600,750
"2009","May",7139,5451,3678,1560,740,130
"2009","Jun",5629,3550,1743,784,150,1045
"2009","Jul",3624,1694,898,297,1508,1064
"2009","Aug",2112,976,508,1354,1280,1395
"2009","Sep",1068,600,1436,1353,1421,2409
"2009","Oct",420,1268,1172,1256,2186,5110
"2009","Nov",1436,680,1421,2359,5302,8390
"2009","Dec",1284,1421,2359,5302,8390,6919
"2010","Jan",1395,1946,4808,7816,6392,5101
"2010","Feb",1979,4870,7850,6477,5136,3600
"2010","Mar",4745,7816,6337,5040,3451,1654
"2010","Apr",7527,6139,4870,2595,1517,456
"2010","May",6077,4870,3052,1233,218,-273
"2010","Jun",5316,3256,1233,218,-273,564
"2010","Jul",3600,1426,765,-104,1045,625
"2010","Aug",1517,456,-21,785,680,1500
"2010","Sep",750,-21,785,680,1530,2496
"2010","Oct",-273,1144,1029,1530,2325,4916
"2010","Nov",936,625,1421,2146,4808,7980
"2010","Dec",596,886,1648,4461,7328,6770
"2011","Jan",1256,2060,4294,7527,6770,5629
"2011","Feb",2146,4668,7672,6850,5580,3624
"2011","Mar",4668,7292,6337,5136,3600,2112
"2011","Apr",7850,6811,5590,3624,1802,1133
"2011","May",7823,5802,3810,2112,976,508
"2011","Jun",5884,3487,2355,1238,756,1672
"2011","Jul",3804,2112,1040,550,1436,1284
"2011","Aug",1866,898,462,1299,937,1284
"2011","Sep",838,383,1213,1113,1227,2150
"2011","Oct",150,1436,1029,1500,2098,4808
"2011","Nov",1268,1049,1176,2315,4745,8019
"2011","Dec",680,1146,2150,4870,8111,7173
"2012","Jan",1390,2018,4461,7816,6741,5228
"2012","Feb",2257,4461,7910,6919,5629,3605
"2012","Mar",5248,7910,6850,5590,3600,1600
"2012","Apr",6538,6150,5136,3451,1600,750
"2012","May",5730,4870,3052,1743,670,243
"2012","Jun",5101,3487,1600,750,130,1045
"2012","Jul",3212,1570,515,40,886,794
"2012","Aug",1393,460,-21,785,680,1500
"2012","Sep",456,130,454,92,1256,2060
"2012","Oct",-814,296,92,1176,1946,4378
"2012","Nov",717,92,1176,2060,4736,7432
"2012","Dec",-228,921,1946,4378,7910,6850
"2013","Jan",800,1946,4378,7432,6850,5590
"2013","Feb",1761,4082,7061,6392,5316,3600
"2013","Mar",5927,8229,6850,5040,3600,1600
"2013","Apr",7328,6587,5136,3600,1600,750
"2013","May",7378,5802,3810,1600,750,130
"2013","Jun",5884,3804,1960,838,130,1045
"2013","Jul",3678,2061,898,462,1299,680
"2013","Aug",1600,1068,462,1618,680,1500
"2013","Sep",1040,297,1268,680,1421,2359
"2013","Oct",243,1268,570,1190,2325,4745
"2013","Nov",1299,528,1500,2186,5194,7910
"2013","Dec",1049,1530,2257,4808,7816,7125
"2014","Jan",1530,2496,5477,8302,7125,5765
"2014","Feb",2409,5356,7816,6919,5708,3600
"2014","Mar",5302,8637,7154,5629,3778,1600
