# MIH Forecast NBS (cms) 
# Forecast from Picked model for Bulletin forecast runs
# For example, for the "2017 Jan" row, the forecast
# was conducted at the beginning of Jan, 2017. For this row:
# Column "one" represents the forecast for January produced in January 2017
# Column "two" represents the forecast for February produced in January 2017
# Column "three" represents the forecast for March produced in January 2017
# etc.
# Last modified 2023-09-05 13:40:40 by JKP
#
"year","month","one","two","three","four","five","six","forecaster"
"2017","01"," 1545","2641","5332","8435","7053","5745","JKP"
"2017","02"," 2750","5238","8139","6762","5160","3203","DA9"
"2017","03"," 5444","7130","6486","5405","3334","1752","LMF"
"2017","04"," 7582","6344","5068","3334","1723"," 635","DA9"
"2017","05"," 6914","5568","3183","1585"," 635"," 185","LMF"
"2017","06"," 6058","3584","1752"," 728"," 254","1328","DA9"
"2017","07"," 3800","1752"," 810"," 345","1570","1330","DA9"
"2017","08"," 1930","1010"," 520","1328","1185","1830","DA9"
"2017","09","  728"," 345","1328","1185","1830","2350","hml"
"2017","10","  -92","1472","1330","1725","2426","5400","LMF"
"2017","11"," 1888","1099","1744","2606","5350","8253","hml"
"2017","12"," 1099","1638","2270","5030","8288","7430","hml"
"2018","01"," 1330","2108","4936","8104","7228","5626","zam"
"2018","02"," 2524","5268","8253","7139","6005","3525","zam"
"2018","03"," 5350","8104","7228","6005","3383","1458","hml"
"2018","04"," 9004","6590","6005","3631","1585"," 762","jkp"
"2018","05"," 7539","6362","3590","1590"," 526"," 151","hml"
"2018","06"," 4908","3275","1606"," 984"," 402","1146","DA9"
"2018","07"," 3203","1458"," 904"," 345","1254","1144","jkp"
"2018","08"," 1723"," 635"," 185","1629"," 868","1040","LMF"
"2018","09","  635","-710","1254","1144","1720","2128","zam"
"2018","10","  731","1548","1185","1409","2184","4509","DA9"
"2018","11"," 2059","1241","1330","2161","4356","7998","DA9"
"2018","12"," 1241","1352","2108","4562","7582","6705","CJW"
"2019","01"," 1512","2184","4900","7915","7068","5745","zam"
"2019","02"," 2727","5126","7656","6344","5292","3203","EAB"
"2019","03"," 6184","8634","7300","6005","3631","1502","zam"
"2019","04"," 9100","7682","6058","3584","1585"," 526","EAB"
"2019","05"," 7470","6005","3631","1606"," 368"," 185","jkp"
"2019","06"," 6452","4124","1930"," 740"," 270","1328","DA9"
"2019","07"," 4240","1865"," 762"," 254","1146","1330","jkp"
"2019","08"," 1194"," 409","-598"," 951","1330","1725","zam"
"2019","09","  984"," 321","1472","1299","1744","2524","EAB"
"2019","10"," 1192","1472","1638","1761","2426","5286","jkp"
"2019","11"," 1640","1330","1908","2750","5621","8686","DA9"
"2019","12"," 1895","2140","2895","5491","8570","7361","EAB"
"2020","01"," 2340","2692","5167","8253","7053","5745","ZAM"
"2020","02"," 3310","6424","8634","6980","5857","3484","JKP"
"2020","03"," 5444","8845","7682","6410","3850","1585","DA9"
"2020","04"," 8590","7430","6284","3735","1350"," 395","DA9"
"2020","05"," 6540","6092","3873","1930"," 943"," 402","DA9"
"2020","06"," 6520","3850","1723"," 943","-225","1629","JKP"
"2020","07"," 3525","2029"," 317","-225"," 850","1241","DA9"
"2020","08"," 2086","1010"," 254","1254","1212","1770","DA9"
"2020","09"," 1160"," 643","1548","1330","1830","2606","JKP"
"2020","10","-1005","1040","1241","1830","2692","5400","DA9"
"2020","11"," 1146","1330","1830","2750","5400","7915","JMW"
"2020","12"," 1576","1883","2808","5400","8458","7228","DA9"
"2021","01"," 2340","2524","5030","7582","7108","5626","ZAM"
"2021","02"," 2094","4606","7864","6822","5857","3446","JKP"
"2021","03"," 5726","7375","6822","5745","3210","1469","DA9"
"2021","04"," 6855","6593","5568","3275","1469"," 409","JLJ"
"2021","05"," 6344","5595","3334","1469"," 526"," 151","JLJ"
"2021","06"," 4858","2967","1828"," 762","-566"," 866","ZAM"
"2021","07"," 3790","1606"," 810"," -32","1640","1330","DA9"
"2021","08"," 1280"," 110","-566","1328","1212","1330","ZAM"
"2021","09"," 1010"," 254","1548","1144","1638","2350","JLJ"
"2021","10"," -470","1570","1330","1830","2750","5126","DA9"
"2021","11"," 2165","1512","1830","2524","5126","7915","ZAM"
"2021","12"," 1080","1830","2750","5332","8139","7139","DA9"
"2022","01"," 1744","2900","5730","8139","7139","5798","JLJ"
"2022","02"," 2750","5238","7656","7053","5857","3525","DA9"
"2022","03"," 5167","7656","6914","5626","3525","1585","JLJ"
"2022","04"," 9004","7108","5674","3240","1176"," 604","DA9"
"2022","05"," 7228","5857","3446","1458"," 395"," 102","DA9"
"2022","06"," 5674","2667","1280"," 395"," 132","1116","ZAM"
"2022","07"," 3590","1469"," 425","-710","1640","1099","ZAM"
"2022","08"," 1828","  38"," 659","1745","1330","1908","JLJ"
"2022","09","  212","-326","1548","1474","1795","2764","DA9"
"2022","10"," -326","1146","1241","1908","2606","5167","JLJ"
"2022","11","  645"," 965","1830","2641","5030","8104","JKP"
"2022","12","  510","1883","2606","5286","8104","7068","JKP"
"2023","01"," 1830","2426","5238","8139","7228","5798","JKP"
"2023","02"," 2750","5030","7407","7053","5745","3275","ZAM"
"2023","03"," 5332","8139","7139","6005","3446","1534","ZAM"
"2023","04"," 8599","6540","5528","3106","1585"," 762","DA9"
"2023","05"," 6755","5405","3735","1930"," 692"," 185","JKP"
"2023","06"," 5000","3631","1585"," 990"," 345","1328","JKP"
"2023","07"," 2860"," 970"," 395"," 457","1548","1241","DA9"
"2023","08"," 1280"," 395"," 185","1472","1241","1372","DA9"
"2023","09","38","-92","1254","1330","1409","2128","JKP"
