# ONT Forecast Net Basin Supply (NBS)
# 50% forecast from Picked model for Bulletin forecasts
# Year and month columns specify the month the forecast was conducted.
# For example, for the "2002 Nov" row, the forecast
# was conducted at the beginning of November, 2002. For this row:
# Column "one" represents the forecast for November produced in November 2002,
# Column "two" represents the forecast for December produced in November 2002
# Column "three" represents the forecast for January 2003 produced in November 2002
# etc.
# Last modified 2016-12-08 06:33:49 by LMF
#
"year","month","one","two","three","four","five","six"
"2002","Nov",630,950,650,890,2020,2700
"2002","Dec",1010,810,1010,2080,2700,1600
"2003","Jan",1120,940,2080,2640,1710,1110
"2003","Feb",900,1930,2540,1460,970,510
"2003","Mar",1950,2540,1470,990,560,180
"2003","Apr",2660,1550,1050,470,230,200
"2003","May",1630,1110,560,200,110,210
"2003","Jun",1100,610,170,80,130,470
"2003","Jul",650,200,110,170,520,710
"2003","Aug",260,130,150,500,710,860
"2003","Sep",170,100,500,680,820,1030
"2003","Oct",260,590,700,890,1080,2180
"2003","Nov",520,690,880,1000,2060,2560
"2003","Dec",970,1160,1140,2160,2620,1640
"2004","Jan",1120,1160,2280,2730,1690,1140
"2004","Feb",1160,2300,2830,1770,1200,640
"2004","Mar",1450,1940,1140,780,350,-50
"2004","Apr",2750,1720,1180,680,220,120
"2004","May",1790,1250,740,280,210,290
"2004","Jun",1340,680,280,180,240,590
"2004","Jul",740,320,260,290,590,710
"2004","Aug",300,290,330,660,880,980
"2004","Sep",410,380,660,880,1030,1240
"2004","Oct",290,660,880,860,1000,2060
"2004","Nov",420,610,810,970,2060,2620
"2004","Dec",680,780,870,2040,2580,1630
"2005","Jan",980,960,2140,2850,1720,1230
"2005","Feb",1200,2340,3030,1720,1160,650
"2005","Mar",2410,2830,1800,1250,710,280
"2005","Apr",2980,1790,1270,650,190,80
"2005","May",1820,1230,670,190,160,230
"2005","Jun",980,650,200,80,180,520
"2005","Jul",590,180,180,230,520,710
"2005","Aug",80,-20,50,460,630,760
"2005","Sep",220,230,650,880,810,1000
"2005","Oct",270,610,760,840,1040,2120
"2005","Nov",740,860,890,1100,2180,2770
"2005","Dec",810,950,1070,2280,2640,1740
"2006","Jan",880,1070,2180,2810,1660,1150
"2006","Feb",1070,2140,2680,1660,1140,600
"2006","Mar",2260,2810,1760,1160,620,200
"2006","Apr",2730,1690,1150,610,190,110
"2006","May",1600,1160,670,220,110,170
"2006","Jun",1250,570,160,110,170,540
"2006","Jul",640,190,110,180,540,710
"2006","Aug",380,350,370,590,700,950
"2006","Sep",310,320,660,830,920,1010
"2006","Oct",360,710,860,950,1140,2260
"2006","Nov",350,540,720,930,2060,2620
"2006","Dec",860,1010,1140,2160,2960,1840
"2007","Jan",1160,1140,2260,2730,1800,1200
"2007","Feb",1360,2240,2750,1640,1210,680
"2007","Mar",2480,3180,1960,1410,760,200
"2007","Apr",2770,1800,1230,760,280,180
"2007","May",1910,1370,720,260,180,240
"2007","Jun",1110,690,150,190,290,590
"2007","Jul",650,190,80,170,520,710
"2007","Aug",220,170,220,540,720,890
"2007","Sep",160,300,540,720,880,1080
"2007","Oct",260,620,810,820,1030,2100
"2007","Nov",590,700,940,1100,2160,2660
"2007","Dec",830,810,1040,2060,2700,1580
"2008","Jan",790,1000,2060,2700,1580,1070
"2008","Feb",1110,2060,2700,1710,1150,650
"2008","Mar",2200,2600,1710,1180,660,200
"2008","Apr",2730,1760,1220,620,190,110
"2008","May",1770,1220,630,190,110,170
"2008","Jun",1200,650,150,180,260,590
"2008","Jul",660,280,190,240,570,710
"2008","Aug",260,200,300,620,760,860
"2008","Sep",180,230,590,700,940,1060
"2008","Oct",210,540,690,840,1060,2080
"2008","Nov",630,740,820,1080,2100,2640
"2008","Dec",1010,1010,1060,1930,2660,1720
"2009","Jan",1010,1130,2220,2790,1820,1170
"2009","Feb",1110,2220,2730,1690,1150,650
"2009","Mar",2240,2810,1710,1170,670,210
"2009","Apr",2700,1710,1200,690,220,110
"2009","May",1690,1180,660,210,110,170
"2009","Jun",1180,680,220,130,180,520
"2009","Jul",710,250,160,220,570,740
"2009","Aug",250,160,220,570,720,890
"2009","Sep",260,290,660,880,890,1100
"2009","Oct",230,660,910,970,1170,2300
"2009","Nov",570,740,880,1130,1990,2700
"2009","Dec",710,970,940,1970,2640,1760
"2010","Jan",950,1160,2280,2940,1770,1240
"2010","Feb",1140,2260,2920,1760,1230,610
"2010","Mar",1830,2900,1740,1180,610,200
"2010","Apr",2870,1720,1210,600,200,110
"2010","May",1430,1080,620,170,70,110
"2010","Jun",1080,700,260,130,180,520
"2010","Jul",730,310,280,290,950,1220
"2010","Aug",300,270,290,590,760,860
"2010","Sep",150,270,580,740,850,1040
"2010","Oct",270,570,710,850,1040,2120
"2010","Nov",590,770,890,1100,2180,2600
"2010","Dec",930,760,1000,2020,2600,1740
"2011","Jan",920,1060,2000,2520,1660,1100
"2011","Feb",1060,2140,2730,1660,1180,680
"2011","Mar",2040,2520,1600,1130,660,310
"2011","Apr",2580,1640,1180,690,440,410
"2011","May",1980,1310,790,370,320,410
"2011","Jun",1380,760,260,160,200,520
"2011","Jul",720,420,380,480,910,1070
"2011","Aug",420,380,420,910,1170,950
"2011","Sep",250,270,620,740,810,1060
"2011","Oct",440,740,970,1010,1140,2040
"2011","Nov",870,1010,860,1000,2060,2620
"2011","Dec",880,860,1000,2060,2540,1710
"2012","Jan",910,1110,2140,2600,1630,1130
"2012","Feb",1070,2000,2600,1740,1280,720
"2012","Mar",2060,2620,1640,1140,650,200
"2012","Apr",2260,1510,1120,630,200,110
"2012","May",1410,1110,590,280,210,290
"2012","Jun",960,580,250,170,240,520
"2012","Jul",580,270,240,250,520,710
"2012","Aug",160,170,200,520,710,860
"2012","Sep",210,230,520,710,790,930
"2012","Oct",120,660,880,690,980,1950
"2012","Nov",740,880,650,860,1970,2520
"2012","Dec",660,790,930,2060,2620,1640
"2013","Jan",680,860,1870,2520,1640,1140
"2013","Feb",890,1930,2540,1460,970,570
"2013","Mar",2160,2620,1490,1010,570,330
"2013","Apr",2120,1470,1070,580,200,110
"2013","May",1600,1100,600,200,110,170
"2013","Jun",1020,550,240,160,230,520
"2013","Jul",580,310,280,290,590,710
"2013","Aug",280,210,290,590,710,860
"2013","Sep",160,170,520,710,880,1000
"2013","Oct",260,660,690,690,1170,1990
"2013","Nov",520,710,890,1100,2120,2640
"2013","Dec",840,940,1070,2160,2660,1640
"2014","Jan",950,1080,2180,2680,1680,1160
"2014","Feb",1060,2140,2790,1660,1130,650
"2014","Mar",2140,2770,1640,1120,640,200
"2014","Apr",2700,1630,1170,590,220,110
"2014","May",1890,1180,690,220,130,170
"2014","Jun",1180,580,200,110,170,520
"2014","Jul",740,280,230,270,590,680
"2014","Aug",320,210,220,520,680,860
"2014","Sep",270,150,500,710,840,970
"2014","Oct",300,460,710,950,860,1910
"2014","Nov",480,610,850,900,2220,2540
"2014","Dec",810,780,1030,1930,2520,1610
"2015","Jan",890,980,2120,2430,1640,1120
"2015","Feb",1010,2080,2700,1640,1140,650
"2015","Mar",1970,2870,1640,1200,690,240
"2015","Apr",2500,1570,1040,600,170,80
"2015","May",1510,1100,630,210,100,170
"2015","Jun",940,600,160,110,230,590
"2015","Jul",850,370,160,290,520,1220
"2015","Aug",260,130,160,660,700,890
"2015","Sep",110,240,590,1130,940,930
"2015","Oct",200,610,970,940,1170,1970
"2015","Nov",610,880,830,930,1860,2540
"2015","Dec",870,810,940,1990,2500,1520
"2016","Jan",1120,1070,2160,2440,1170,920
"2016","Feb",990,1800,2330,1460,1060,610
"2016","Mar",2200,1770,1390,1050,630,-400
"2016","Apr",2760,1640,1120,540,200,70
"2016","May",1600,1040,560,180,80,130
"2016","Jun",1200,650,200,110,170,520
"2016","Jul",480,150,40,110,470,710
"2016","Aug",170,140,160,520,710,870
"2016","Sep",130,200,520,710,830,940
"2016","Oct",-130,390,980,910,1070,2160
"2016","Nov",540,630,850,1000,2140,2560
"2016","Dec",770,880,1060,2100,2540,1570
