# ONT Forecast NBS (cms) 
# Forecast from Picked model for Bulletin forecast runs
# For example, for the "2017 Jan" row, the forecast
# was conducted at the beginning of Jan, 2017. For this row:
# Column "one" represents the forecast for January produced in January 2017
# Column "two" represents the forecast for February produced in January 2017
# Column "three" represents the forecast for March produced in January 2017
# etc.
# Last modified 2023-09-05 13:40:41 by JKP
#
"year","month","one","two","three","four","five","six","forecaster"
"2017","01"," 934","1029","1968","2597","1505","1095","JKP"
"2017","02","  13","1950","2552","1638","1056"," 556","DA9"
"2017","03","1936","2552","1470","1095"," 600"," 150","LMF"
"2017","04","3078","2105","1255"," 590"," 382"," 416","DA9"
"2017","05","1726","1095"," 600"," 150","  75"," 130","LMF"
"2017","06","1390"," 746"," 230"," 120"," 192"," 710","DA9"
"2017","07"," 710"," 230"," 160"," 192"," 726","1026","DA9"
"2017","08"," 240"," 124"," 200"," 710"," 960","1009","DA9"
"2017","09"," 136"," 179"," 501","1114","1148","1029","hml"
"2017","10"," 130"," 835","1251"," 940","1180","2428","LMF"
"2017","11"," 720","1012"," 990","1136","2095","2842","hml"
"2017","12"," 930"," 990","1170","2187","2702","1726","hml"
"2018","01"," 720","1237","2187","2758","1627","1187","zam"
"2018","02","1044","2110","2690","1560","1130"," 600","zam"
"2018","03","2170","2690","1627","1180"," 590"," 150","hml"
"2018","04","2970","1383","1132"," 590"," 102","  75","jkp"
"2018","05","1765","1210"," 697"," 217"," 120"," 192","hml"
"2018","06"," 970"," 681"," 120"," -18","  89"," 522","DA9"
"2018","07"," 620","  70","  75"," 241"," 710"," 940","jkp"
"2018","08"," 462"," 618"," 895","1274","1135"," 882","LMF"
"2018","09","  75"," 130"," 618"," 930","1230","1254","zam"
"2018","10"," 304"," 740"," 960"," 820","1136","2110","DA9"
"2018","11"," 824","1012"," 934"," 889","1950","2649","DA9"
"2018","12"," 960"," 650"," 985","1420","2610","1060","CJW"
"2019","01"," 810"," 985","2025","2610","1462","1095","zam"
"2019","02"," 870","1968","2610","1462","1056"," 594","EAB"
"2019","03","2365","2810","1505","1095"," 697"," 217","zam"
"2019","04","2810","1673","1187"," 630"," 150"," 120","EAB"
"2019","05","1808","1095"," 658"," 128","  75"," 130","jkp"
"2019","06","1255"," 710"," 198"," 120"," 241"," 710","DA9"
"2019","07"," 872"," 230","  75","  44"," 644"," 818","jkp"
"2019","08","  90"," -60"," 100"," 601"," 947"," 908","zam"
"2019","09","  32"," 100"," 601"," 960"," 940","1044","EAB"
"2019","10"," 338"," 522"," 940"," 991","1147","2110","jkp"
"2019","11"," 618"," 930","1098","1160","2152","2810","DA9"
"2019","12","1070","1039","1170","2152","2726","1578","EAB"
"2020","01","1056","1160","2095","2690","1560","1113","ZAM"
"2020","02","1237","2170","2810","1673","1180"," 658","JKP"
"2020","03","2289","2862","1726","1210"," 700"," 128","DA9"
"2020","04","2480","1470","1210"," 658"," 128","  40","DA9"
"2020","05","1448","1198"," 630"," 150","  75"," 130","DA9"
"2020","06","1006"," 556"," 113","  75","  40"," 468","JKP"
"2020","07"," 454","  90"," -18","  44"," 501"," 770","DA9"
"2020","08","  90"," -18","  89"," 578"," 934"," 882","DA9"
"2020","09","-120","   0"," 456","1091"," 934","1136","JKP"
"2020","10","-100"," 352"," 930"," 810","1106","2081","DA9"
"2020","11"," 578"," 960"," 934","1082","2060","2610","JMW"
"2020","12"," 818"," 940","1158","2060","2526","1561","DA9"
"2021","01"," 990","1170","2060","2610","1505"," 940","ZAM"
"2021","02"," 950","2170","2702","1297"," 992"," 512","JKP"
"2021","03","1968","2590","1540","1120"," 600","  90","DA9"
"2021","04","2132","1350"," 950"," 454","  58","  40","JLJ"
"2021","05","1448"," 950"," 544"," 162"," 147"," 304","JLJ"
"2021","06"," 884"," 512"," 139"," 110"," 111"," 726","ZAM"
"2021","07"," 435"," 113"," 176"," 154"," 710","1044","DA9"
"2021","08"," 228","  70"," 100"," 812","1070","1270","ZAM"
"2021","09"," 120"," 100"," 746","1070","1230","1044","JLJ"
"2021","10","   0"," 835","1070"," 990","1136","1936","DA9"
"2021","11"," 710"," 950","1039","1160","2060","2649","ZAM"
"2021","12","1135"," 990","1106","2050","2649","1638","DA9"
"2022","01"," 990","1147","2025","2490","1600","1090","JLJ"
"2022","02","1170","2152","2480","1448","1095"," 588","DA9"
"2022","03","2187","2649","1448","1095"," 594"," 158","JLJ"
"2022","04","2970","1448","1068"," 544"," 128","  75","DA9"
"2022","05","1505","1156"," 613","  77","  75"," 181","DA9"
"2022","06"," 884"," 512"," 128"," 136"," 154"," 522","ZAM"
"2022","07"," 478"," 120"," 120","  91"," 618"," 750","ZAM"
"2022","08"," 120","  51"," 100"," 758","1044"," 990","JLJ"
"2022","09"," -40"," 130"," 667","1135"," 990","1170","DA9"
"2022","10"," 100"," 501","1044"," 990","1202","2290","JLJ"
"2022","11"," 320"," 930"," 940","1106","2170","2678","JKP"
"2022","12"," 660"," 940","1180","2170","2526","1600","JKP"
"2023","01","1148","1106","2170","2690","1578","1079","JKP"
"2023","02","1480","1895","2690","1350","1079"," 590","ZAM"
"2023","03","1950","2778","1578","1095"," 697"," 140","ZAM"
"2023","04","2862","1600","1095"," 600"," 230","  75","DA9"
"2023","05","1561","1006"," 512"," 139","  75"," 130","JKP"
"2023","06"," 970"," 681"," 198","  40"," 130"," 578","JKP"
"2023","07"," 500"," 128","  40"," 192"," 710"," 930","DA9"
"2023","08"," 182"," 124"," 192"," 710"," 818"," 868","DA9"
"2023","09","120","154","566","960","940","950","JKP"
