# STC Forecast Net Basin Supply (NBS)
# 50% forecast from Picked model for Bulletin forecasts
# Year and month columns specify the month the forecast was conducted.
# For example, for the "2002 Nov" row, the forecast
# was conducted at the beginning of November, 2002. For this row:
# Column "one" represents the forecast for November produced in November 2002,
# Column "two" represents the forecast for December produced in November 2002
# Column "three" represents the forecast for January 2003 produced in November 2002
# etc.
# Last modified 2016-12-08 06:33:49 by LMF
#
"year","month","one","two","three","four","five","six"
"2002","Nov",171,353,461,481,491,442
"2002","Dec",353,461,481,491,442,302
"2003","Jan",160,200,370,317,140,40
"2003","Feb",290,400,304,150,120,94
"2003","Mar",350,310,174,153,120,73
"2003","Apr",250,174,130,120,73,80
"2003","May",252,192,150,100,92,110
"2003","Jun",190,161,110,110,130,160
"2003","Jul",171,120,131,171,161,353
"2003","Aug",120,131,171,161,353,461
"2003","Sep",131,171,161,353,461,481
"2003","Oct",240,304,462,470,551,720
"2003","Nov",192,440,403,481,491,442
"2003","Dec",252,330,382,420,360,234
"2004","Jan",365,432,443,402,280,200
"2004","Feb",404,422,370,260,200,150
"2004","Mar",90,44,30,30,10,-10
"2004","Apr",330,193,153,120,73,80
"2004","May",193,153,120,73,80,70
"2004","Jun",153,120,73,80,70,103
"2004","Jul",171,120,131,171,161,353
"2004","Aug",120,131,171,161,353,461
"2004","Sep",131,171,161,252,260,234
"2004","Oct",140,171,353,391,432,57
"2004","Nov",161,353,461,481,491,442
"2004","Dec",353,461,481,491,442,302
"2005","Jan",330,382,420,360,234,192
"2005","Feb",481,491,442,302,210,171
"2005","Mar",491,442,302,210,171,120
"2005","Apr",375,252,170,130,80,90
"2005","May",234,192,150,100,92,110
"2005","Jun",192,150,100,92,110,140
"2005","Jul",150,100,92,110,140,252
"2005","Aug",171,191,211,252,462,531
"2005","Sep",211,231,230,412,502,512
"2005","Oct",231,230,412,502,512,601
"2005","Nov",230,412,502,512,601,570
"2005","Dec",412,502,512,601,570,411
"2006","Jan",502,512,601,570,411,230
"2006","Feb",512,601,570,411,230,212
"2006","Mar",601,570,411,230,212,161
"2006","Apr",570,411,230,212,161,211
"2006","May",411,230,212,161,211,231
"2006","Jun",210,171,120,131,171,161
"2006","Jul",171,120,131,171,161,353
"2006","Aug",120,131,171,161,353,461
"2006","Sep",131,171,161,353,461,481
