# STC Forecast NBS (cms) 
# Forecast from Picked model for Bulletin forecast runs
# For example, for the "2017 Jan" row, the forecast
# was conducted at the beginning of Jan, 2017. For this row:
# Column "one" represents the forecast for January produced in January 2017
# Column "two" represents the forecast for February produced in January 2017
# Column "three" represents the forecast for March produced in January 2017
# etc.
# Last modified 2023-09-05 13:40:40 by JKP
#
"year","month","one","two","three","four","five","six","forecaster"
"2017","01","418","438","480","400","288","210","JKP"
"2017","02","438","480","400","288","210","178","DA9"
"2017","03","480","400","288","210","178","120","LMF"
"2017","04","400","288","210","178","120","130","DA9"
"2017","05","288","210","178","120","130","150","LMF"
"2017","06","210","178","120","130","150","175","DA9"
"2017","07","178","120","130","150","175","308","DA9"
"2017","08","120","130","150","175","308","418","DA9"
"2017","09","130","150","175","308","418","438","hml"
"2017","10","150","175","308","418","438","480","LMF"
"2017","11","128","230","165","221","370","280","hml"
"2017","12","308","418","438","480","400","288","hml"
"2018","01","418","438","480","400","288","210","zam"
"2018","02","438","480","400","288","210","178","zam"
"2018","03","480","400","288","210","178","120","hml"
"2018","04","400","288","210","178","120","130","jkp"
"2018","05","288","210","178","120","130","150","hml"
"2018","06","210","178","120","130","150","175","DA9"
"2018","07","178","120","130","150","175","308","jkp"
"2018","08","120","130","150","175","308","418","LMF"
"2018","09","130","150","175","308","418","438","zam"
"2018","10","150","175","308","418","438","480","DA9"
"2018","11","175","308","418","438","480","400","DA9"
"2018","12","308","418","438","480","400","288","CJW"
"2019","01","418","438","480","400","288","210","zam"
"2019","02","438","480","400","288","210","178","EAB"
"2019","03","480","400","288","210","178","120","zam"
"2019","04","400","288","210","178","120","130","EAB"
"2019","05","288","210","178","120","130","150","jkp"
"2019","06","210","178","120","130","150","175","DA9"
"2019","07","178","120","130","150","175","308","jkp"
"2019","08","120","130","150","175","308","418","zam"
"2019","09","130","150","175","308","418","438","EAB"
"2019","10","150","175","308","418","438","480","jkp"
"2019","11","175","308","418","438","480","400","DA9"
"2019","12","308","418","438","480","400","288","EAB"
"2020","01","418","438","480","400","288","210","ZAM"
"2020","02","438","480","400","288","210","178","JKP"
"2020","03","480","400","288","210","178","120","DA9"
"2020","04","400","288","210","178","120","130","DA9"
"2020","05","288","210","178","120","130","150","DA9"
"2020","06","210","178","120","130","150","175","JKP"
"2020","07","178","120","130","150","175","308","DA9"
"2020","08","120","130","150","150","308","418","DA9"
"2020","09","130","150","175","308","418","438","JKP"
"2020","10","150","175","308","418","438","480","DA9"
"2020","11","175","308","418","438","480","400","JMW"
"2020","12","308","418","438","480","400","288","DA9"
"2021","01","418","438","480","400","288","210","ZAM"
"2021","02","438","480","400","288","210","178","JKP"
"2021","03","480","400","288","210","178","120","DA9"
"2021","04","400","288","210","178","120","130","JLJ"
"2021","05","288","210","178","120","130","150","JLJ"
"2021","06","210","178","120","130","150","175","ZAM"
"2021","07","178","120","130","150","175","308","DA9"
"2021","08","120","130","150","175","308","418","ZAM"
"2021","09","130","150","175","308","418","438","JLJ"
"2021","10","150","175","308","418","438","480","DA9"
"2021","11","175","308","418","438","480","400","ZAM"
"2021","12","308","418","438","480","400","288","DA9"
"2022","01","418","438","480","400","288","210","JLJ"
"2022","02","438","480","400","288","210","178","DA9"
"2022","03","480","400","288","210","178","120","JLJ"
"2022","04","400","288","210","178","120","130","DA9"
"2022","05","288","210","178","120","130","150","DA9"
"2022","06","210","178","120","130","150","175","ZAM"
"2022","07","178","120","130","150","175","308","ZAM"
"2022","08","120","130","150","175","308","418","JLJ"
"2022","09","130","150","175","308","418","438","DA9"
"2022","10","150","175","308","418","438","480","JLJ"
"2022","11","175","308","418","438","480","400","JKP"
"2022","12","308","418","438","480","400","288","JKP"
"2023","01","418","438","480","400","288","210","JKP"
"2023","02","438","480","400","288","210","178","ZAM"
"2023","03","480","400","288","210","178","120","ZAM"
"2023","04","400","288","210","178","120","130","DA9"
"2023","05","288","210","178","120","130","150","JKP"
"2023","06","210","178","120","130","150","175","JKP"
"2023","07","178","120","130","150","175","308","DA9"
"2023","08","120","130","150","175","308","418","DA9"
"2023","09","130","150","175","308","418","438","JKP"
