# SUP Forecast Net Basin Supply (NBS)
# 50% forecast from Picked model for Bulletin forecasts
# Year and month columns specify the month the forecast was conducted.
# For example, for the "2002 Nov" row, the forecast
# was conducted at the beginning of November, 2002. For this row:
# Column "one" represents the forecast for November produced in November 2002,
# Column "two" represents the forecast for December produced in November 2002
# Column "three" represents the forecast for January 2003 produced in November 2002
# etc.
# Last modified 2016-12-08 06:33:49 by LMF
#
"year","month","one","two","three","four","five","six"
"2002","Nov",543,-480,-220,320,1524,4324
"2002","Dec",-596,-331,216,1361,4225,4787
"2003","Jan",-644,-84,1300,4035,4578,4005
"2003","Feb",87,1261,4056,4640,4005,3290
"2003","Mar",790,3918,4526,3816,3189,2649
"2003","Apr",3788,4397,3700,3290,2559,1454
"2003","May",4905,4152,3189,2849,1651,1128
"2003","Jun",3962,3310,2702,1554,1128,245
"2003","Jul",3296,2597,1454,1005,190,-854
"2003","Aug",2702,1554,1039,245,-815,-605
"2003","Sep",1369,936,147,-890,-654,163
"2003","Oct",1005,245,-737,-426,275,1167
"2003","Nov",-32,-923,-568,163,1167,4147
"2003","Dec",-620,-525,275,1300,3918,4905
"2004","Jan",-426,87,1167,3788,4905,4087
"2004","Feb",45,1167,3918,4787,3898,3290
"2004","Mar",130,3064,3696,3048,2750,1648
"2004","Apr",4498,5694,4758,3569,2849,1795
"2004","May",5052,4896,3886,3134,2138,1005
"2004","Jun",4669,3652,2954,1990,1205,418
"2004","Jul",3372,2929,1770,1266,418,-659
"2004","Aug",2736,1611,1128,304,-737,-499
"2004","Sep",2180,1680,733,-403,-268,190
"2004","Oct",836,190,-815,-605,-10,1061
"2004","Nov",395,-684,-426,126,1286,4056
"2004","Dec",-815,-605,-10,1061,3918,5145
"2005","Jan",-530,45,1167,3918,5145,4230
"2005","Feb",630,1458,4398,4905,4036,3341
"2005","Mar",1167,3918,4526,3816,3341,2649
"2005","Apr",5416,5799,4758,3652,2954,1979
"2005","May",4490,3898,3290,2649,1681,799
"2005","Jun",3898,3189,2343,1681,799,33
"2005","Jul",3441,2500,1369,870,107,-630
"2005","Aug",2433,1293,836,33,-684,-640
"2005","Sep",1526,549,-211,-788,-640,275
"2005","Oct",246,-170,-788,-525,275,1300
"2005","Nov",107,-923,-693,-133,1002,3702
"2005","Dec",-630,-568,10,1167,3918,4526
"2006","Jan",-605,-10,1061,3918,4490,3802
"2006","Feb",10,1167,3918,4526,3816,3341
"2006","Mar",1226,3986,4640,3962,3321,2702
"2006","Apr",4378,5394,3962,3321,2702,1554
"2006","May",4509,4479,3470,2815,1780,1039
