# SUP Forecast NBS (cms) 
# Forecast from Picked model for Bulletin forecast runs
# For example, for the "2017 Jan" row, the forecast
# was conducted at the beginning of Jan, 2017. For this row:
# Column "one" represents the forecast for January produced in January 2017
# Column "two" represents the forecast for February produced in January 2017
# Column "three" represents the forecast for March produced in January 2017
# etc.
# Last modified 2023-09-05 13:40:40 by JKP
#
"year","month","one","two","three","four","five","six","forecaster"
"2017","01","-340"," 183","1457","4436","5108","4212","JKP"
"2017","02"," 305","1422","4258","4949","4115","3290","DA9"
"2017","03","1724","3438","4962","4056","3158","2876","LMF"
"2017","04","4067","4885","4056","3263","2804","1925","DA9"
"2017","05","5018","4115","3352","2528","1694"," 955","LMF"
"2017","06","4350","3650","2876","1925","1370"," 235","DA9"
"2017","07","3462","2784","1990","1086"," 224","-439","DA9"
"2017","08","2602","1775","1370"," 161","-500","-336","DA9"
"2017","09","1918","1370"," 235","-500","-259"," -60","hml"
"2017","10","1780"," 180","-827","-108"," 447","1724","LMF"
"2017","11"," 975","-423","-336"," 183","1522","4350","hml"
"2017","12","-480","-336"," 258","1422","4404","5108","hml"
"2018","01","-554"," -10","1305","4300","5302","4740","zam"
"2018","02"," 150","1422","4300","5302","4704","3462","zam"
"2018","03","1457","3972","5372","4498","3308","2804","hml"
"2018","04","4052","5075","3999","3397","2756","1646","jkp"
"2018","05","5460","4498","3545","2735","1762"," 890","hml"
"2018","06","3500","3060","2400","1601"," 890"," 138","DA9"
"2018","07","3518","2845","2092","1370"," 161","-555","jkp"
"2018","08","2602","1925","1230"," 253","-664","-442","LMF"
"2018","09","1793"," 620"," 224","-512","-296"," 220","zam"
"2018","10","1725"," 452","-590","-470","  60","1292","DA9"
"2018","11","1094","-478","-517"," -10","1200","4160","DA9"
"2018","12","-830","-492"," -10","1200","3710","5075","CJW"
"2019","01","-296"," 305","1457","4160","5302","4602","zam"
"2019","02"," 420","1330","4160","4393","4079","3230","EAB"
"2019","03","1930","4865","5219","4305","3390","2735","zam"
"2019","04","4725","5640","4843","3650","2845","1775","EAB"
"2019","05","5692","4630","3576","2922","1646"," 955","jkp"
"2019","06","5090","3879","3010","1975","1327"," 643","DA9"
"2019","07","3576","2528","1990","1293"," 506","-628","jkp"
"2019","08","1956","1323"," 470","  63","-480","-402","zam"
"2019","09","1990","1242"," 398","-500","-402","  90","EAB"
"2019","10","1518"," 260","-478","-340"," 129","1490","jkp"
"2019","11"," 690","-395","-150"," 412","1522","4500","DA9"
"2019","12","-357","-280"," 305","1450","4300","5302","EAB"
"2020","01","-164","-111","1348","4500","5596","4212","ZAM"
"2020","02"," 521","1724","4642","5219","4510","3576","JKP"
"2020","03","1724","4500","5167","4704","3230","1956","DA9"
"2020","04","4725","5434","4602","3290","2453","1665","DA9"
"2020","05","4150","4115","3390","2528","1918","1370","DA9"
"2020","06","3999","3462","2602","1688","1293"," 317","JKP"
"2020","07","3230","2311","1694"," 890"," 506","-395","DA9"
"2020","08","3010","1990","1086"," 235","-512","-336","DA9"
"2020","09","1856","1347"," 538","-530","-280"," 305","JKP"
"2020","10"," 346","  63","-555","-340"," 150","1438","DA9"
"2020","11"," 138","-380","-280"," 330","1320","4258","JMW"
"2020","12","-357","-280"," 305","1490","4350","4962","DA9"
"2021","01","-280"," 258","2200","3235","4520","4498","ZAM"
"2021","02","-370","1016","3896","4393","3821","3230","JKP"
"2021","03","1589","3972","4885","4115","3030","2198","DA9"
"2021","04","3972","4630","4115","3158","2453","1665","JLJ"
"2021","05","4630","3999","3158","2528","1490"," 890","JLJ"
"2021","06","3439","2854","1860","1601"," 890"," 317","ZAM"
"2021","07","2985","2500","1762"," 887"," 372","-570","DA9"
"2021","08","2453","1323"," 842"," 161","-480","-402","ZAM"
"2021","09","1145"," 887"," 180","-740","-470"," 148","JLJ"
"2021","10","1186","  63","-720","-625"," -60","1422","DA9"
"2021","11"," 506","-338"," -70"," 148","1330","4160","ZAM"
"2021","12","-990","-492","   9","1490","4300","5302","DA9"
"2022","01","-280"," 220","1330","4792","5397","4115","JLJ"
"2022","02"," 330","1422","4300","5302","4138","3308","DA9"
"2022","03","1422","4300","5302","4138","3308","2602","JLJ"
"2022","04","4404","4574","3821","3060","2442","1542","DA9"
"2022","05","5734","4200","2985","2464","1490"," 955","DA9"
"2022","06","4766","3121","2602","1100"," 842"," 224","ZAM"
"2022","07","3540","2500","1793"," 620"," 161","-566","ZAM"
"2022","08","2528","1601","1623"," 643","-530","-296","JLJ"
"2022","09","1100"," 842"," 224","-439","-290"," 258","DA9"
"2022","10"," 955"," 538","-530","-340"," 220","1457","JLJ"
"2022","11","-103","-423","-319"," 258","1422","4246","JKP"
"2022","12","-395","-340"," 183","1348","4500","5167","JKP"
"2023","01","-108"," 258","1348","4500","5167","4432","JKP"
"2023","02"," 521","1348","4642","5219","3999","3426","ZAM"
"2023","03"," 937","4642","5302","4115","3235","2602","ZAM"
"2023","04","4436","4716","4350","3158","2453","1856","DA9"
"2023","05","5460","4630","3270","2442","1762"," 955","JKP"
"2023","06","3698","3282","2674","1775"," 786"," 180","JKP"
"2023","07","2985","2400","1793","1582"," 114","-646","DA9"
"2023","08","2602","1694","1212"," 506","-646","-470","DA9"
"2023","09","1214","634","372","-664","-410","-111","JKP"
