# LAKE ERIE MONTHLY NET BASIN SUPPLY (10m3s)
# FORTRAN FORMAT: I4 12F8.0
# 1901-2022
UNITS:m3s
INTERVAL:m
####     Jan     Feb     Mar     Apr     May     Jun     Jul     Aug     Sep     Oct     Nov     Dec
1980     940     530    4270    2430    1350     520     310    -460    -570    -920    -980    -630
1981     940     530    4270    2430    1350     520     310    -460    -570    -920    -980    -630
1982     940     530    4270    2430    1350     520     310    -460    -570    -920    -980    -630
1983     940     530    4270    2430    1350     520     310    -460    -570    -920    -980    -630
1984     940     530    4270    2430    1350     520     310    -460    -570    -920    -980    -630
1985     940     530    4270    2430    1350     520     310    -460    -570    -920    -980    -630
1986     940     530    4270    2430    1350     520     310    -460    -570    -920    -980    -630
1987     940     530    4270    2430    1350     520     310    -460    -570    -920    -980    -630
1988     940     530    4270    2430    1350     520     310    -460    -570    -920    -980    -630
1989     940     530    4270    2430    1350     520     310    -460    -570    -920    -980    -630
1990     940     530    4270    2430    1350     520     310    -460    -570    -920    -980    -630
1991     940     530    4270    2430    1350     520     310    -460    -570    -920    -980    -630
1992     940     530    4270    2430    1350     520     310    -460    -570    -920    -980    -630
1993     940     530    4270    2430    1350     520     310    -460    -570    -920    -980    -630
1994     940     530    4270    2430    1350     520     310    -460    -570    -920    -980    -630
1995     940     530    4270    2430    1350     520     310    -460    -570    -920    -980    -630
1996     940     530    4270    2430    1350     520     310    -460    -570    -920    -980    -630
1997     940     530    4270    2430    1350     520     310    -460    -570    -920    -980    -630
1998     940     530    4270    2430    1350     520     310    -460    -570    -920    -980    -630
1999     940     530    4270    2430    1350     520     310    -460    -570    -920    -980    -630
2000     940     530    4270    2430    1350     520     310    -460    -570    -920    -980    -630
