# LAKE MICHIGAN-HURON MONTHLY NET BASIN SUPPLY (10m3s)
# FORTRAN FORMAT: I4 12F8.0
# 1901-2022
UNITS:m3s
INTERVAL:m
####     Jan     Feb     Mar     Apr     May     Jun     Jul     Aug     Sep     Oct     Nov     Dec
1980    1590    2900    8750    9380   10540    5800    3990    2200    1650     750   -2050   -1160
1981    1590    2900    8750    9380   10540    5800    3990    2200    1650     750   -2050   -1160
1982    1590    2900    8750    9380   10540    5800    3990    2200    1650     750   -2050   -1160
1983    1590    2900    8750    9380   10540    5800    3990    2200    1650     750   -2050   -1160
1984    1590    2900    8750    9380   10540    5800    3990    2200    1650     750   -2050   -1160
1985    1590    2900    8750    9380   10540    5800    3990    2200    1650     750   -2050   -1160
1986    1590    2900    8750    9380   10540    5800    3990    2200    1650     750   -2050   -1160
1987    1590    2900    8750    9380   10540    5800    3990    2200    1650     750   -2050   -1160
1988    1590    2900    8750    9380   10540    5800    3990    2200    1650     750   -2050   -1160
1989    1590    2900    8750    9380   10540    5800    3990    2200    1650     750   -2050   -1160
1990    1590    2900    8750    9380   10540    5800    3990    2200    1650     750   -2050   -1160
1991    1590    2900    8750    9380   10540    5800    3990    2200    1650     750   -2050   -1160
1992    1590    2900    8750    9380   10540    5800    3990    2200    1650     750   -2050   -1160
1993    1590    2900    8750    9380   10540    5800    3990    2200    1650     750   -2050   -1160
1994    1590    2900    8750    9380   10540    5800    3990    2200    1650     750   -2050   -1160
1995    1590    2900    8750    9380   10540    5800    3990    2200    1650     750   -2050   -1160
1996    1590    2900    8750    9380   10540    5800    3990    2200    1650     750   -2050   -1160
1997    1590    2900    8750    9380   10540    5800    3990    2200    1650     750   -2050   -1160
1998    1590    2900    8750    9380   10540    5800    3990    2200    1650     750   -2050   -1160
1999    1590    2900    8750    9380   10540    5800    3990    2200    1650     750   -2050   -1160
2000    1590    2900    8750    9380   10540    5800    3990    2200    1650     750   -2050   -1160
