# LAKE ST. CLAIR MONTHLY NET BASIN SUPPLY (10m3s)
# FORTRAN FORMAT: I4 12F8.0
# 1901-2022
UNITS:m3s
INTERVAL:m
####     Jan     Feb     Mar     Apr     May     Jun     Jul     Aug     Sep     Oct     Nov     Dec
1980      80     590     360     360     220      40      60      80       0     -30       0     180
1981      80     590     360     360     220      40      60      80       0     -30       0     180
1982      80     590     360     360     220      40      60      80       0     -30       0     180
1983      80     590     360     360     220      40      60      80       0     -30       0     180
1984      80     590     360     360     220      40      60      80       0     -30       0     180
1985      80     590     360     360     220      40      60      80       0     -30       0     180
1986      80     590     360     360     220      40      60      80       0     -30       0     180
1987      80     590     360     360     220      40      60      80       0     -30       0     180
1988      80     590     360     360     220      40      60      80       0     -30       0     180
1989      80     590     360     360     220      40      60      80       0     -30       0     180
1990      80     590     360     360     220      40      60      80       0     -30       0     180
1991      80     590     360     360     220      40      60      80       0     -30       0     180
1992      80     590     360     360     220      40      60      80       0     -30       0     180
1993      80     590     360     360     220      40      60      80       0     -30       0     180
1994      80     590     360     360     220      40      60      80       0     -30       0     180
1995      80     590     360     360     220      40      60      80       0     -30       0     180
1996      80     590     360     360     220      40      60      80       0     -30       0     180
1997      80     590     360     360     220      40      60      80       0     -30       0     180
1998      80     590     360     360     220      40      60      80       0     -30       0     180
1999      80     590     360     360     220      40      60      80       0     -30       0     180
2000      80     590     360     360     220      40      60      80       0     -30       0     180
