# LAKE SUPERIOR MONTHLY NET BASIN SUPPLY (10m3s)
# FORTRAN FORMAT: I4 12F8.0
# 1901-2022
UNITS:m3s
INTERVAL:m
####     Jan     Feb     Mar     Apr     May     Jun     Jul     Aug     Sep     Oct     Nov     Dec
1980    -110     950    1010    1980    6750    4220    2380    4280    3410    3470    -710   -1080
1981    -110     950    1010    1980    6750    4220    2380    4280    3410    3470    -710   -1080
1982    -110     950    1010    1980    6750    4220    2380    4280    3410    3470    -710   -1080
1983    -110     950    1010    1980    6750    4220    2380    4280    3410    3470    -710   -1080
1984    -110     950    1010    1980    6750    4220    2380    4280    3410    3470    -710   -1080
1985    -110     950    1010    1980    6750    4220    2380    4280    3410    3470    -710   -1080
1986    -110     950    1010    1980    6750    4220    2380    4280    3410    3470    -710   -1080
1987    -110     950    1010    1980    6750    4220    2380    4280    3410    3470    -710   -1080
1988    -110     950    1010    1980    6750    4220    2380    4280    3410    3470    -710   -1080
1989    -110     950    1010    1980    6750    4220    2380    4280    3410    3470    -710   -1080
1990    -110     950    1010    1980    6750    4220    2380    4280    3410    3470    -710   -1080
1991    -110     950    1010    1980    6750    4220    2380    4280    3410    3470    -710   -1080
1992    -110     950    1010    1980    6750    4220    2380    4280    3410    3470    -710   -1080
1993    -110     950    1010    1980    6750    4220    2380    4280    3410    3470    -710   -1080
1994    -110     950    1010    1980    6750    4220    2380    4280    3410    3470    -710   -1080
1995    -110     950    1010    1980    6750    4220    2380    4280    3410    3470    -710   -1080
1996    -110     950    1010    1980    6750    4220    2380    4280    3410    3470    -710   -1080
1997    -110     950    1010    1980    6750    4220    2380    4280    3410    3470    -710   -1080
1998    -110     950    1010    1980    6750    4220    2380    4280    3410    3470    -710   -1080
1999    -110     950    1010    1980    6750    4220    2380    4280    3410    3470    -710   -1080
2000    -110     950    1010    1980    6750    4220    2380    4280    3410    3470    -710   -1080
